name,gender,salary,departments,position
상아진,male,25238,IT,assistant
진주아,male,22383,marketing,intern
남하진,female,29570,IT,assistant
문정윤,male,25959,finance,header
차율,male,26126,marketing,manager
여인우,male,20890,design,assistant
감지원,female,13316,marketing,manager
편서정,male,9786,marketing,intern
서여원,male,24602,marketing,header
장은혜,male,14965,advertising,assistant
감은호,male,15445,IT,assistant
어하늘,female,8634,marketing,assistant
모라온,male,26257,finance,manager
표나경,male,4640,marketing,manager
용하람,female,26908,marketing,assistant
팽지민,female,26437,marketing,assistant
신건희,male,5679,IT,header
도하민,male,27204,marketing,assistant
봉봄,female,9795,design,intern
가리아,male,18022,marketing,intern
강세훈,female,18886,marketing,assistant
전현준,male,26022,design,manager
승이안,female,5228,marketing,intern
빈예솔,female,26671,marketing,manager
단주아,male,13227,marketing,manager
호봄,male,27676,marketing,assistant
김율,male,5981,marketing,intern
라정훈,female,19723,design,intern
당찬희,male,12999,advertising,assistant
공서율,female,19986,marketing,assistant
유소윤,male,9127,marketing,intern
은정연,female,10915,marketing,assistant
반혜성,male,4103,advertising,header
홍현승,male,11200,marketing,assistant
복아린,female,5070,marketing,assistant
견소미,female,14093,marketing,manager
백지연,female,28226,marketing,manager
허하린,female,12655,design,assistant
이주한,female,26284,advertising,manager
전태영,male,20077,marketing,intern
정유빈,male,16477,advertising,manager
전유나,male,23617,IT,assistant
금지아,female,22491,marketing,intern
손지혁,male,16636,marketing,assistant
온재은,male,24231,marketing,assistant
지정민,female,7085,marketing,header
국시헌,male,25350,marketing,assistant
차라온,male,8026,marketing,assistant
안주하,male,13980,marketing,manager
당주은,female,9852,marketing,assistant
오동윤,female,19879,advertising,manager
탁우진,female,28007,advertising,header
추윤서,male,19624,marketing,assistant
노민규,male,18941,marketing,assistant
국재원,male,18323,marketing,assistant
반규빈,male,5088,marketing,header
음소희,female,18465,design,header
안하연,male,5262,marketing,assistant
허은지,female,8451,marketing,assistant
남유빈,female,29092,finance,manager
진지성,male,5919,marketing,manager
맹주완,male,15492,marketing,assistant
하태린,female,28713,advertising,manager
심태환,female,29959,design,assistant
승지윤,male,9270,marketing,intern
엄하민,male,14296,marketing,header
팽건후,male,25988,advertising,header
권다원,male,15799,IT,assistant
기서윤,male,17505,design,assistant
석태영,male,20203,marketing,manager
유예지,female,12794,marketing,assistant
모혜진,female,26718,advertising,assistant
견주한,male,24789,design,assistant
민주혁,male,20272,marketing,header
시혜성,female,26187,advertising,assistant
이도하,male,21591,IT,manager
하서아,male,25344,IT,header
모원준,female,24152,advertising,header
동현수,female,8380,marketing,assistant
류수민,male,29687,marketing,assistant
위형준,female,8091,design,assistant
나정빈,male,18242,IT,manager
유가영,female,23616,marketing,assistant
신루아,female,21950,marketing,manager
민나현,male,5086,marketing,assistant
서민영,female,9692,marketing,assistant
김건후,female,9801,marketing,manager
추서은,male,23385,finance,manager
진유나,male,23914,design,manager
양지완,male,15103,marketing,assistant
음지우,female,23457,design,assistant
채한별,male,13304,IT,manager
위나린,male,21782,advertising,manager
동동훈,male,25498,design,assistant
시건우,female,23845,marketing,manager
안재영,female,28802,finance,assistant
고준영,male,23858,IT,manager
허하은,female,29020,marketing,assistant
용유안,male,23757,marketing,assistant
온은빈,female,24083,marketing,manager
태유찬,female,4348,advertising,assistant
염준현,female,7776,marketing,assistant
유다율,female,3583,marketing,assistant
목태하,male,22218,marketing,intern
명수현,female,3827,IT,manager
소솔,male,26705,finance,manager
은제인,female,4650,marketing,assistant
봉다혜,female,18115,advertising,assistant
고슬아,male,17322,finance,manager
방세준,male,20709,finance,manager
승서준,female,21845,advertising,assistant
용태희,male,12177,design,assistant
사서진,female,12674,marketing,intern
남다현,female,20429,finance,assistant
홍은혁,female,27996,marketing,manager
원민규,male,22515,finance,manager
류건후,female,18476,finance,assistant
맹산,male,4738,marketing,assistant
설연수,female,6042,IT,manager
문유건,male,20289,advertising,header
서민솔,female,3142,marketing,manager
송서정,female,20620,marketing,intern
금시율,female,8138,marketing,assistant
천찬희,male,16804,marketing,header
황이준,female,8446,IT,manager
신서우,male,27755,advertising,assistant
간예원,male,23135,marketing,manager
태세현,female,6998,design,assistant
국태성,male,19010,marketing,assistant
염은혜,female,29864,marketing,assistant
피효준,male,3167,marketing,assistant
나예서,female,22693,IT,header
사하준,male,5403,design,manager
상정은,male,13860,marketing,assistant
온시윤,male,13367,IT,assistant
나승찬,male,9420,IT,assistant
곽가윤,male,29932,finance,manager
채도훈,male,29203,marketing,manager
허은우,male,11931,advertising,assistant
손민결,male,19934,marketing,header
감소희,female,7763,marketing,manager
허태호,male,28269,finance,assistant
방채영,female,19264,marketing,assistant
권민아,female,29527,design,manager
지가윤,female,13367,marketing,assistant
손우찬,male,12913,advertising,manager
봉정후,male,7601,marketing,intern
설우빈,female,7610,design,assistant
맹서희,female,16504,marketing,assistant
선이안,male,10883,IT,assistant
팽재이,female,10446,marketing,manager
천아름,female,27838,advertising,manager
견승준,female,15406,marketing,header
임민건,female,24935,advertising,assistant
표시호,female,19579,advertising,manager
안가온,female,9929,finance,manager
은율,male,14563,advertising,manager
노예슬,male,20871,design,header
주혜민,male,24528,IT,manager
상시우,female,4661,advertising,intern
양선율,male,25909,advertising,assistant
문현수,male,29336,marketing,assistant
변다윤,male,17876,marketing,header
나승유,male,27472,marketing,intern
채혜린,male,17942,marketing,assistant
예예서,male,22132,marketing,manager
현서후,male,5814,finance,manager
빈수아,female,29122,marketing,manager
봉서진,female,25487,advertising,assistant
설호진,female,24492,marketing,assistant
공민호,male,27360,marketing,intern
장윤재,male,3029,IT,assistant
반현,female,11900,advertising,assistant
전지후,male,7091,advertising,header
위다온,female,7020,finance,manager
배윤성,male,15992,marketing,assistant
형윤서,female,29262,IT,manager
갈재희,male,24673,advertising,assistant
사유진,male,20916,IT,intern
신다경,male,17449,marketing,manager
마민하,male,12595,advertising,intern
양건,female,22589,design,assistant
유제인,male,29563,advertising,assistant
진지안,female,23055,finance,intern
예하진,female,20897,marketing,assistant
당현민,male,13620,marketing,header
최하람,female,11142,marketing,header
두시후,male,15505,design,assistant
음단비,male,16153,marketing,manager
공예주,female,27411,advertising,assistant
금민혁,female,24615,design,manager
마승후,female,5528,IT,assistant
형유준,male,28503,design,manager
탁소율,female,21993,finance,assistant
지선우,female,29621,design,assistant
설영준,male,7537,advertising,intern
위채현,male,22939,finance,assistant
마하준,male,10193,marketing,assistant
표서은,female,16247,marketing,manager
육이현,female,4637,marketing,manager
시윤찬,female,9601,marketing,assistant
우민영,female,22540,marketing,assistant
시태영,male,3901,advertising,manager
선은지,female,20021,advertising,manager
권주원,female,28879,marketing,intern
배이안,female,14334,marketing,intern
문유라,male,17887,marketing,manager
은예담,male,27337,finance,assistant
임재영,male,21201,marketing,manager
노유경,male,23659,design,manager
피혜성,female,15017,advertising,assistant
조상현,male,25290,marketing,assistant
임선율,female,28997,marketing,assistant
예다원,male,20134,IT,manager
박세준,male,11812,IT,assistant
당주완,female,23401,marketing,manager
주지민,female,12297,marketing,assistant
태지유,male,27244,design,assistant
인혜인,male,8287,IT,assistant
육아연,male,6567,marketing,header
안유이,male,12297,marketing,assistant
시유나,male,14763,advertising,assistant
고신우,male,16922,marketing,assistant
도도희,female,27573,marketing,manager
갈은채,female,14101,marketing,assistant
양이서,female,17208,marketing,assistant
심은율,female,6755,marketing,manager
류라엘,male,10278,finance,assistant
남가윤,male,11433,marketing,manager
차영준,female,4336,IT,assistant
위서진,male,29543,design,assistant
탁혜진,male,6854,marketing,manager
편혜윤,female,25039,advertising,manager
견성빈,female,27786,advertising,intern
유가연,male,11687,IT,assistant
권승환,female,4811,advertising,assistant
국서희,female,23695,advertising,manager
피하진,male,11936,marketing,manager
음지훈,female,19187,marketing,assistant
선지온,female,29352,design,assistant
탁준서,female,28497,finance,assistant
성소담,female,7368,marketing,assistant
안주원,male,14225,marketing,manager
모현서,male,14167,marketing,intern
채성우,male,9910,advertising,assistant
지이나,male,21528,advertising,manager
엄보미,male,15661,finance,assistant
마태환,male,7187,IT,manager
함라윤,male,25913,design,manager
정혜성,female,7420,advertising,assistant
음유하,male,26480,marketing,assistant
강동윤,female,19912,IT,header
권채연,female,22573,marketing,assistant
공루아,male,22869,marketing,assistant
함현석,male,19083,advertising,assistant
봉아윤,male,26710,design,intern
원연지,male,22258,advertising,assistant
조라엘,male,23310,IT,assistant
추건우,male,21206,advertising,assistant
엄아영,male,18029,design,manager
양찬우,male,9303,advertising,assistant
단은솔,female,15930,design,assistant
하해인,male,26318,design,assistant
조승원,female,15013,finance,assistant
류라희,male,17920,advertising,assistant
목예림,male,7746,marketing,manager
목봄,female,20152,marketing,assistant
성가은,female,28635,marketing,manager
갈세준,male,5492,marketing,assistant
육재영,male,23819,marketing,assistant
감서우,female,21811,design,manager
소동욱,male,11550,finance,intern
명예린,female,29634,finance,assistant
황산,male,28937,marketing,assistant
편세연,male,7466,marketing,intern
진정빈,female,21123,marketing,intern
단승원,male,19745,marketing,assistant
백정민,male,16093,IT,manager
정루아,female,10414,marketing,manager
용준후,male,26535,marketing,assistant
문아영,male,7695,marketing,assistant
심서현,female,3079,marketing,assistant
엄현지,female,8183,advertising,manager
박윤우,male,20713,advertising,assistant
전지후,male,13187,finance,assistant
김우진,male,7044,marketing,assistant
하주원,female,23193,advertising,intern
라유정,male,7239,marketing,manager
태수연,male,5522,marketing,assistant
시단우,male,17983,marketing,assistant
윤현지,male,20493,advertising,manager
김나영,male,19851,marketing,manager
연상현,male,29271,design,manager
원경민,female,27395,design,manager
라준희,male,25889,advertising,assistant
간재이,male,6493,marketing,header
부준석,male,19819,marketing,assistant
권승찬,male,8219,marketing,assistant
도재준,male,22699,IT,manager
우소민,male,18094,marketing,assistant
탁도연,female,15551,advertising,manager
백태환,male,13776,advertising,assistant
노정민,male,28648,advertising,manager
피태이,male,4636,advertising,manager
황이서,male,13656,marketing,assistant
채은수,male,21073,marketing,manager
빈나율,male,9239,advertising,header
오시윤,female,17924,marketing,assistant
견지원,male,3402,advertising,header
인성준,male,27928,marketing,assistant
류태현,female,21650,marketing,assistant
부하율,male,20118,design,assistant
백세현,male,3571,marketing,header
지시현,male,29827,marketing,manager
빈시연,male,11614,IT,manager
위하윤,male,22204,marketing,assistant
문유준,male,7050,design,manager
나민성,male,26768,marketing,manager
심정민,male,6101,marketing,manager
장나린,male,27036,design,intern
범주환,male,26315,marketing,manager
명재하,male,22127,design,header
간여진,male,7461,marketing,assistant
남민아,male,5047,marketing,assistant
어아라,female,6467,IT,manager
석정현,male,3837,marketing,assistant
국현서,female,13944,marketing,header
조서호,female,22113,marketing,assistant
우민기,male,3302,marketing,assistant
강예준,male,5445,marketing,manager
복하율,female,11956,finance,assistant
감승훈,male,20881,marketing,assistant
음유빈,male,12426,marketing,assistant
염정우,male,26759,marketing,assistant
함성빈,female,14197,design,manager
두민솔,female,24968,marketing,manager
권서율,female,26025,advertising,assistant
육시훈,male,24947,advertising,assistant
정보민,female,6615,advertising,assistant
심하윤,female,23704,marketing,assistant
간은성,female,6043,marketing,assistant
간민성,male,22006,marketing,assistant
한윤하,male,11681,marketing,manager
안예솔,female,27509,finance,assistant
엄인우,male,7063,design,assistant
차준희,female,12981,finance,assistant
반민주,male,14748,marketing,header
탁준수,male,7280,marketing,assistant
설현우,male,10004,marketing,manager
왕시온,male,15225,IT,assistant
감시윤,male,24021,advertising,manager
당지한,male,18094,marketing,assistant
백가윤,male,23787,IT,assistant
하시윤,female,12098,marketing,assistant
탁주영,male,18998,advertising,assistant
우윤건,male,6433,advertising,manager
민예찬,male,16046,marketing,assistant
승아현,female,29154,finance,assistant
지세연,female,3549,IT,assistant
시재원,female,12796,marketing,manager
피은호,male,3168,marketing,assistant
동우현,male,24183,marketing,assistant
정가온,male,27493,marketing,assistant
가도희,male,13875,finance,assistant
조은우,female,4055,marketing,assistant
박서린,male,25286,marketing,assistant
부주호,male,12223,marketing,header
심다온,female,7443,marketing,manager
육소원,female,28759,marketing,assistant
권이든,male,4428,marketing,manager
성나율,male,28128,marketing,intern
유상현,female,21070,design,header
위건호,male,27782,marketing,manager
왕태호,female,6963,marketing,manager
시시우,male,25136,advertising,assistant
송제인,male,4126,advertising,intern
복준현,female,29396,finance,header
노승연,male,21596,advertising,manager
경윤호,female,29389,finance,manager
성상우,male,3758,marketing,manager
여주원,female,8740,advertising,assistant
염수민,male,17518,advertising,intern
음채영,male,27907,design,assistant
우주호,female,8566,IT,assistant
남진우,female,17250,marketing,assistant
태다혜,female,4099,advertising,manager
제찬우,female,23397,marketing,assistant
심태이,male,13429,design,manager
이지원,male,17705,marketing,manager
피연호,male,17479,marketing,manager
임시후,male,15736,advertising,manager
경주안,female,4811,marketing,assistant
호아연,female,14583,advertising,manager
복시후,male,18233,IT,assistant
제성민,male,10187,design,assistant
기예주,male,10152,design,assistant
박가인,male,15999,marketing,manager
갈준후,female,13540,advertising,assistant
두정연,male,29026,advertising,header
허하람,male,24989,marketing,intern
손재이,female,24056,marketing,manager
경주아,male,27008,IT,header
당동우,male,7196,marketing,manager
태예린,male,25231,design,manager
상승준,male,6563,marketing,manager
위승호,male,22661,finance,manager
현준희,male,23827,marketing,manager
백은율,male,14624,marketing,assistant
감현빈,female,3462,design,intern
강하영,female,13720,marketing,assistant
감우현,male,10640,IT,manager
어지온,female,14771,marketing,intern
노유진,female,19725,advertising,assistant
윤우현,male,17904,finance,header
라지민,male,14509,IT,assistant
용수지,male,14416,marketing,manager
공민건,male,11622,marketing,intern
온은우,male,10178,advertising,intern
강서아,female,11563,advertising,intern
길리원,male,20184,marketing,assistant
심민기,female,6106,IT,assistant
송주은,female,11270,advertising,assistant
우태윤,male,13268,advertising,intern
전예슬,male,12849,marketing,manager
견채은,male,20995,marketing,assistant
권지온,male,14176,design,header
위주희,male,27370,marketing,assistant
갈주혁,female,24507,marketing,header
범성원,female,26401,marketing,assistant
강승원,female,13520,marketing,manager
온민건,male,13614,advertising,assistant
엄지한,male,5474,marketing,assistant
피하리,male,15551,advertising,manager
현상현,male,10121,finance,assistant
지민찬,female,28182,marketing,assistant
어다온,male,12180,marketing,manager
엄아현,female,15454,marketing,assistant
당지혜,male,27346,marketing,header
예지후,male,25099,advertising,manager
시세은,female,16405,finance,manager
형규민,female,24614,advertising,manager
상하연,male,13475,advertising,intern
변서준,male,26379,marketing,assistant
유시윤,female,29576,marketing,manager
송승민,male,27123,advertising,intern
방다경,female,27102,marketing,assistant
부지웅,female,26430,IT,header
조대현,male,26519,advertising,assistant
금한별,male,8416,marketing,assistant
연혜성,male,29325,advertising,manager
이세아,male,25394,marketing,assistant
노성훈,male,11540,design,intern
모유진,female,21950,marketing,assistant
인주아,male,3453,marketing,manager
당우성,male,19510,marketing,manager
한연우,male,28016,IT,assistant
은지온,male,3748,finance,assistant
복서연,female,7283,IT,manager
연은율,female,8424,marketing,header
전준희,female,24701,finance,header
서소연,male,29493,advertising,manager
감소윤,male,21120,advertising,assistant
위서희,male,19153,advertising,header
어정윤,male,10795,marketing,assistant
노세준,male,21030,marketing,assistant
신승재,male,9902,advertising,assistant
홍지온,male,22620,marketing,intern
은율,male,18423,advertising,manager
견유은,male,5453,marketing,manager
유라엘,female,6050,finance,assistant
온준형,female,22876,design,manager
안태건,male,9277,advertising,assistant
목은재,female,25149,marketing,header
엄한나,male,17262,marketing,assistant
표수정,female,19029,marketing,assistant
임선우,male,16438,advertising,manager
호제이,male,24571,marketing,assistant
가정연,female,17907,design,manager
육예찬,female,12929,marketing,assistant
위현수,female,26375,marketing,intern
윤도연,male,23234,marketing,manager
오영민,female,14599,marketing,manager
마은서,male,9795,IT,assistant
단유안,female,12214,marketing,assistant
나가은,female,20013,marketing,assistant
좌윤채,male,13582,IT,intern
변민채,male,29969,marketing,assistant
음사랑,male,21159,marketing,header
탁이한,male,4245,marketing,intern
제서우,male,16621,marketing,assistant
정시우,male,24287,marketing,assistant
제주환,male,20032,design,assistant
두효주,female,12194,marketing,manager
목도경,male,20761,marketing,assistant
어승훈,female,14571,marketing,assistant
지다원,male,21648,marketing,assistant
라시원,male,26344,marketing,header
김서린,male,20751,marketing,assistant
강건우,female,21492,finance,assistant
엄율,female,12674,marketing,assistant
문태인,female,12596,advertising,assistant
감연우,male,15758,marketing,assistant
노하민,female,23381,advertising,assistant
유범준,male,22136,advertising,manager
고이솔,male,10249,advertising,intern
고우성,female,12870,IT,manager
나우준,female,7352,marketing,assistant
인다빈,female,9253,advertising,assistant
마로이,male,26735,marketing,assistant
주서영,female,24122,finance,header
당도훈,female,10788,marketing,manager
김규빈,female,4162,design,assistant
국태오,male,5894,marketing,assistant
편지호,male,19620,marketing,assistant
범서호,female,28797,IT,assistant
두나은,male,17440,marketing,assistant
정하율,female,11546,advertising,manager
나성현,male,14114,marketing,manager
동하랑,male,21796,marketing,intern
부세준,female,20761,marketing,assistant
육단우,female,15773,marketing,manager
공현아,female,24163,advertising,assistant
성영민,male,16681,marketing,assistant
문시준,female,3708,marketing,header
정지은,male,5758,marketing,manager
이하민,male,16224,advertising,assistant
옥시은,female,20617,advertising,assistant
배윤성,male,18923,marketing,assistant
길승준,male,7608,marketing,assistant
소태민,male,26342,design,assistant
부민영,female,11423,marketing,assistant
부아진,male,19790,advertising,intern
빈민호,male,27793,design,intern
소태연,male,18368,marketing,manager
음서빈,male,3588,design,manager
모수정,female,27923,marketing,header
왕재희,male,16208,marketing,header
남성빈,male,15999,IT,assistant
김별,male,18594,finance,assistant
구하윤,female,12905,marketing,manager
방지환,female,19974,design,manager
현다빈,male,18641,marketing,manager
강도율,male,7538,advertising,assistant
견유민,male,14811,marketing,assistant
견하음,male,9246,advertising,assistant
배유빈,male,10031,marketing,header
우유민,male,24244,marketing,assistant
허소정,female,23331,design,assistant
윤채빈,male,19434,design,manager
정채민,male,5444,IT,assistant
감현,male,13137,marketing,manager
가호준,male,24568,advertising,manager
윤유성,female,7939,IT,manager
추재현,male,19779,finance,assistant
지슬아,male,7825,advertising,assistant
양하윤,male,7564,advertising,header
하유준,male,17542,marketing,assistant
반예담,female,5076,IT,manager
가성빈,female,26808,advertising,assistant
모현호,male,7753,marketing,assistant
경세훈,male,11216,design,manager
천재인,female,11621,marketing,assistant
기현석,male,23534,IT,manager
서준희,male,7494,marketing,assistant
방보미,female,27658,advertising,assistant
천연서,male,23178,marketing,manager
연주혁,female,13763,marketing,assistant
용희원,male,13422,advertising,assistant
감은재,female,3459,finance,manager
사시율,female,22383,marketing,assistant
감태이,male,4365,marketing,manager
옥온유,male,19794,advertising,manager
연윤재,female,22472,marketing,header
주다현,male,16203,finance,assistant
복연주,female,13967,marketing,assistant
나유진,female,11431,marketing,manager
백수아,female,9383,finance,assistant
피아현,male,12544,IT,header
구민하,female,26853,IT,manager
설승현,female,27822,advertising,manager
견유정,male,5217,marketing,manager
탁정우,female,20647,marketing,intern
시시안,female,11204,marketing,manager
음리나,female,10093,marketing,manager
선서우,male,14512,advertising,assistant
복아인,male,12962,advertising,assistant
김승우,female,21931,marketing,manager
강태경,female,28574,marketing,intern
백아윤,male,14774,finance,header
하성준,male,22009,marketing,header
당시현,male,22295,marketing,manager
라단우,male,18952,advertising,assistant
도리원,female,8345,marketing,manager
인세빈,female,17072,advertising,assistant
두채빈,male,4307,advertising,header
천상윤,male,17160,design,assistant
좌하연,male,20911,advertising,manager
맹연주,male,23892,IT,assistant
위수진,male,25979,advertising,intern
송건,female,28977,marketing,manager
호태호,female,18904,marketing,manager
국지우,female,22912,marketing,manager
백채연,female,24570,marketing,manager
박지후,female,26404,advertising,manager
석희원,female,24864,marketing,assistant
정시아,female,23720,marketing,manager
박민서,male,29334,advertising,assistant
편동욱,male,7549,finance,manager
허주안,male,8783,IT,intern
범도경,male,12147,marketing,manager
상민기,male,21466,marketing,assistant
박시연,male,26526,IT,assistant
서다온,female,22255,design,intern
노대현,female,16436,marketing,manager
석도진,male,4506,advertising,assistant
반승유,male,11406,IT,header
피시헌,male,4180,marketing,manager
연서하,female,6845,marketing,assistant
서다경,male,27048,marketing,assistant
온보경,female,22863,marketing,manager
안성빈,female,22774,marketing,assistant
시민경,male,10386,advertising,assistant
경세영,male,18609,design,assistant
갈태오,male,16967,finance,assistant
윤가인,male,25852,marketing,assistant
부현석,male,19678,marketing,manager
김소희,female,5292,advertising,assistant
남윤우,female,17450,marketing,manager
태재민,female,29713,marketing,assistant
배태율,female,23320,marketing,manager
길보민,female,4040,IT,header
허재율,male,25434,design,assistant
하서인,male,5037,finance,assistant
은하영,male,9545,IT,manager
송은찬,male,25739,IT,assistant
남정원,female,28803,design,assistant
엄태성,male,18567,IT,header
인시완,female,4410,marketing,manager
유서우,female,23401,finance,assistant
진아름,male,26966,marketing,intern
복도경,male,10017,marketing,assistant
갈채민,female,17620,marketing,manager
설효원,male,26574,marketing,assistant
범유민,female,16361,marketing,assistant
양태영,female,24827,marketing,intern
온동규,male,21978,marketing,manager
편주안,male,23996,marketing,manager
맹하빈,female,22926,design,manager
우도경,male,8683,marketing,header
문서원,male,3907,advertising,assistant
태서원,female,22964,IT,assistant
맹서정,female,26035,marketing,assistant
여진서,female,9659,IT,manager
안은재,female,9678,advertising,header
형하연,female,28412,advertising,intern
서재우,male,12104,advertising,intern
오재원,male,9649,marketing,manager
최채린,male,18271,finance,intern
경시현,male,25878,advertising,intern
복다원,female,22034,finance,assistant
기서진,female,15309,marketing,intern
염여진,female,11555,marketing,manager
홍아인,male,8138,finance,assistant
도준우,female,7081,marketing,header
연보경,male,17857,advertising,assistant
은효주,male,6868,advertising,assistant
손지혜,male,18212,marketing,assistant
송은설,male,19542,marketing,assistant
가유안,male,17868,IT,manager
서선호,male,8824,marketing,assistant
견현준,male,26963,marketing,manager
하채영,male,25897,IT,header
봉태율,female,24580,advertising,manager
공정현,male,26928,marketing,assistant
편주희,male,21282,design,assistant
금선율,male,22138,advertising,manager
최수아,male,22084,IT,header
명현민,male,27590,marketing,assistant
